case_id,customer_text,YOUR_intent,YOUR_auto_handle,YOUR_notes
50059,My phone now lists over 50 apps that can’t be used until the developers upgrade to ios11 What is going on @AppleSupport,software_bug_after_update,True,The customer says over 50 apps cannot be used until developers upgrade to iOS 11; this is an OS-update compatibility/software issue and is routine to troubleshoot.
1134119,"Can I downgrade to iOS 10? iPhone is slow, battery drains, apps crash, keyboard &amp; screen often unresponsive since iOS 11.0.3 @AppleSupport.",software_bug_after_update,True,"The customer reports the phone is slow, drains battery, crashes apps, and has an unresponsive keyboard and screen since iOS 11.0.3; the update is the stated trigger for the software problems."
1743532,@AppleSupport is there a way to disable the screenshot preview? I absolutely cannot stand it and it’s ruining the functionality of my phone!,how_to_question,True,"The customer asks whether there is a way to disable the screenshot preview; they dislike the feature but do not report it malfunctioning, so this is a routine how-to request."
811638,"@AppleSupport Hi trying to download a game on to my phone but keeps telling payment failed, can't sign in to itunes too",billing_purchase,False,"The customer reports a 'payment failed' message while downloading a game and also cannot sign in to iTunes; the payment failure triggers the billing priority, and the account issue also prevents auto-handling."
724019,@AppleSupport What's happening to my battery? It suddenly changes its percentage when I put it to charge/drops to 1% when in use. #iPhone https://t.co/qDZWZAqzK1,hardware_malfunction,True,"The battery percentage suddenly changes while charging and drops to 1% during use, describing a battery fault with no update mentioned; this is a routine hardware-troubleshooting case."
184501,@AppleSupport how can I delete my icloud account?,account_access,False,"The customer asks how to delete their iCloud account; this is an account-access category request, which the rules always mark as not auto-handleable."
2953792,@AppleSupport Not talking about that shitty keyboard you changed once and which starts to be unresponsive again.,hardware_malfunction,True,"The customer says the keyboard that was previously changed has become unresponsive again; no update is mentioned, so this is a physical keyboard fault and a routine troubleshooting case."
1544956,So is @115858 goin to fix these keyboard issues with the ‘I’ or we just going to keep acting like it’s ok?! I️ know I’m not the only one,software_bug_after_update,True,"The customer asks when Apple will fix the keyboard issue with the 'I' character, describing the known software keyboard glitch; this is a routine post-update software bug."
2281167,When @115858 finally comes out with the update to fix the ‘I’ glitch 😭😭,software_bug_after_update,True,"The customer asks when an update will fix the 'I' glitch, explicitly referring to a software fix for the keyboard behavior; this is a routine post-update bug."
2114746,"So @115858, what’s the ETA on the keyboard fix? https://t.co/eP3thRG8XG",software_bug_after_update,True,"The customer asks for the ETA on the keyboard fix, referring to the known 'I' glitch; this is a routine software-bug support case."
2294657,@AppleSupport Gone from beard https://t.co/WOvAuH6wh6,complaint_feedback,False,"The visible message is only 'Gone from beard' plus a link, with no understandable support request or symptom; it is too cryptic to act on safely."
2302356,@AppleSupport @115858 see this video! I opened Snapchat and it's stuck. Home/power button doesn't do anything! It is becoming worse! 😡 https://t.co/DXpfTBu5Se,software_bug_after_update,True,"The customer says Snapchat is stuck and the Home/Power buttons do nothing, and says the problem is getting worse; this is concrete device/software misbehavior with a routine troubleshooting path."
