case_id,customer_text,ai_consensus_intent,ai_consensus_auto_handle,YOUR_final_intent,YOUR_final_auto_handle,YOUR_reasoning
204131,@AppleSupport Major problems with my iPhone 6 #gps since the iOS update last week. Can’t find my location to use Maps or Pokémon Go. 😡,software_bug_after_update,True,software_bug_after_update,True,The customer reports major GPS problems 'since the iOS update last week' and says Maps and Pokémon Go cannot find the location; the update is the stated trigger for the software/location failure.
2924633,"@AppleSupport A song's iCloud status is matched. When played a different song is played. On Apple music, same album plays right song. I've re-ripped so many times and nothing. Pls help!",software_bug_after_update,True,software_bug_after_update,True,The customer says an iCloud-matched song plays a different song in Apple Music while the same album plays correctly elsewhere; this is a specific music-library software malfunction.
2319816,@AppleSupport  please answer my call my Apple ID is disabled and I don’t know why. https://t.co/fmSZJ4YROF,account_access,False,account_access,False,The customer says their Apple ID is disabled and asks Apple to answer the call; this is explicitly an account-access problem and therefore cannot be auto-handled.
1539283,"@AppleSupport fix this freaking I️ glitch, please. I’m about to lose my mind.",software_bug_after_update,True,software_bug_after_update,True,The customer asks Apple to fix the 'I' glitch and describes a concrete keyboard-character problem; this is the known software keyboard bug and is routine to handle.
1224630,"So, I purchased Fantastical from @115858 store over a year ago.  Changed my Apple ID recently and can not update or re-download.  1/",account_access,False,account_access,False,"The customer says they changed their Apple ID and can no longer update or re-download a previously purchased app; the changed Apple ID is directly blocking access to the purchase, so account access takes priority."
1131381,"@AppleSupport Impossible to connect my wifi during a long time with 11.02 and with 11.03. It is a real problem. A new patch, please...",connectivity_issue,True,connectivity_issue,True,"The customer says they cannot connect to Wi-Fi on iOS 11.0.2 and 11.0.3 and asks for a patch; the concrete problem is Wi-Fi connectivity, which takes priority over the update context."
271280,"@AppleSupport 
Two apps that I did not purchase appeared on my iPhone. Also received notification of $1.99 weekly subscription to one.  WTF? https://t.co/rKaebzabTu",billing_purchase,False,billing_purchase,False,The customer reports two apps they did not purchase and a $1.99 weekly subscription notification; unauthorized purchase/subscription activity is money-related and must not be auto-handled.
295926,"@AppleSupport iOS 11 is buggy AF! Apps- buggy, Messenger-buggy. Cumbersome home screen swipe menus. Can I go back ? Is this my life now?!",software_bug_after_update,True,software_bug_after_update,True,"The customer says iOS 11 is 'buggy,' with apps and Messenger malfunctioning and cumbersome home-screen menus, then asks about going back; the update is causing software problems."
571847,@AppleSupport @115948 a lot of my music is “Unavailable” unless I delete it and re add it to my playlist/music library is there a way around this so I don’t have to do this for 100 songs https://t.co/b75R3OnXKN,software_bug_after_update,True,software_bug_after_update,True,"The customer says many Apple Music tracks show 'Unavailable' unless deleted and re-added, asking for a way around doing this for 100 songs; this is a specific music-library software issue."
864442,hey @AppleSupport any new updates to fix the messages bugs as well as the updating apps bugs? Its getting ridiculous that in order to update my apps I have to restart my phone bc it won't update on its own and freezes everything,update_install_issue,True,update_install_issue,True,"The customer says app updates require restarting the phone because they do not update and the phone freezes, and asks for updates to fix the updating-app bug; the immediate problem is the app-update process itself."
360272,@AppleSupport how do I transfer a bunch of powerpoints and microsoft words from a lenovo android tablet to my ipad mini2?,how_to_question,True,how_to_question,True,"The customer asks how to transfer PowerPoint and Word files from a Lenovo Android tablet to an iPad mini 2; nothing is reported as broken, so this is a routine how-to question."
1757941,Please @AppleSupport make my option to disabled wifi to really disable the wifi! Even disabled it still connects to known access points! Tks,connectivity_issue,True,connectivity_issue,True,The customer says Wi-Fi still connects to known access points after being disabled and asks for it to really turn off; this is a Wi-Fi connectivity/control issue with a standard explanation.
322676,"@AppleSupport It would appear putting your phone on silent only allows a vibrating alarm? DND fine if i know when im going to fall asleep.. chances, slim.",how_to_question,True,how_to_question,True,The customer asks about alarm behavior when the phone is on silent and mentions vibration/DND; this is a feature-behavior question rather than a reported malfunction.
1541981,"Just updated to iOS 11.1 &amp; iPhone will recognize it’s being charged for under 1 min then stops charging. What’s up with that, @AppleSupport?",software_bug_after_update,True,software_bug_after_update,True,The customer says that after updating to iOS 11.1 the iPhone recognizes charging for less than a minute and then stops; the update is the explicit trigger for the charging-related software problem.
738914,"@AppleSupport Some of the notifications I receive on my phone are lacking the app icon, only the placeholder shape. How to report?",software_bug_after_update,True,software_bug_after_update,True,The customer reports notification banners showing only a placeholder shape instead of the app icon and asks how to report it; this is a concrete notification/UI software defect.
1715633,Apple iPhone 8 Bluetooth’s keeps crashing BMW’s Connected Drive. @115858 @4792,connectivity_issue,True,connectivity_issue,True,The customer says the iPhone 8 Bluetooth connection keeps crashing BMW Connected Drive; this is directly a Bluetooth connectivity problem.
320921,@AppleSupport Can’t use the App Store; refuses to sign in my Apple ID. Can’t download anything and am beyond frustrated. Unacceptable...,account_access,False,account_access,False,"The customer cannot use the App Store because it refuses to sign in their Apple ID and therefore cannot download anything; this is an account-access problem, which is always non-auto-handled."
584726,Hey @AppleSupport I’m having problems with my X not connecting to my Bluetooth in my car. It worked for a few days but kept disconnecting and now it won’t pair at all.,connectivity_issue,True,connectivity_issue,True,The customer says the iPhone X repeatedly disconnects from Bluetooth in the car and now will not pair at all; this is a routine Bluetooth connectivity issue.
2782047,@AppleSupport  my phone updated last night to iOS 11.1.2 and my battery is draining faster than my tub drain. How do I fix this?  Can’t keep buying new phones 😐,software_bug_after_update,True,software_bug_after_update,True,"The customer says the phone updated to iOS 11.1.2 and its battery now drains much faster, then asks how to fix it; the update is the stated trigger for the software battery problem."
675416,@AppleSupport why has my Apple Pencil stopped working with IOS11?,software_bug_after_update,True,software_bug_after_update,True,"The customer says the Apple Pencil stopped working with iOS 11; because the failure is explicitly tied to the OS update, it belongs to post-update software misbehavior."
853934,@AppleSupport any idea how to fix this when trying to install a clean copy of os? https://t.co/BCEDNXq8s0,update_install_issue,True,update_install_issue,True,The customer asks how to fix a problem while trying to install a clean copy of the OS; the problem is with the installation process itself.
