case_id,customer_text,ai_draft_intent,ai_draft_auto_handle,fresh_ai_intent,fresh_ai_auto_handle,fresh_ai_rationale,YOUR_final_intent,YOUR_final_auto_handle,YOUR_reasoning
724019,@AppleSupport What's happening to my battery? It suddenly changes its percentage when I put it to charge/drops to 1% when in use. #iPhone https://t.co/qDZWZAqzK1,software_bug_after_update,True,hardware_malfunction,True,"The customer describes the battery percentage changing abruptly while charging and dropping to 1% during use, which is a battery/charging fault without an update trigger.",hardware_malfunction,True,"The battery indicator abruptly changes while charging and drops to 1% during use, describing a battery fault with no update mentioned; this is a routine hardware-troubleshooting case."
2953792,@AppleSupport Not talking about that shitty keyboard you changed once and which starts to be unresponsive again.,software_bug_after_update,True,hardware_malfunction,True,"The customer says the keyboard becomes unresponsive again; no update is mentioned, so the direct fault is the keyboard hardware category and it is a routine troubleshooting case.",hardware_malfunction,True,"The customer says the keyboard they previously had changed has become unresponsive again, with no update mentioned; this is a routine physical-keyboard troubleshooting issue."
2294657,@AppleSupport Gone from beard https://t.co/WOvAuH6wh6,how_to_question,False,complaint_feedback,False,"The entire message is only 'Gone from beard' plus a link, with no actionable support request in the visible text; it is too cryptic to handle safely.",complaint_feedback,False,"The visible message is only “Gone from beard” plus a link, so there is no clear support problem or actionable request to handle."
897701,Who is hacking in to my camera when I’m FaceTiming my brother? It was only app open. Our convos aren’t that serious... @115858 @AppleSupport https://t.co/CDvyF2UuaE,complaint_feedback,False,account_access,False,"The customer believes someone is hacking the camera during FaceTime, which is a security/privacy concern and requires human investigation.",account_access,False,"The customer asks who is hacking the camera during FaceTime, raising a security/privacy concern that requires investigation rather than routine handling."
2729020,"@AppleSupport Good morning, I bought and MacBook Pro 2017, can I buy an Apple Care +? I’m in Spain and here is not available, it’s possible do it somehow?",billing_purchase,True,billing_purchase,False,The customer asks about buying AppleCare+ and says it is unavailable in Spain; this is a purchase/eligibility decision rather than a routine feature question.,billing_purchase,False,The customer asks whether AppleCare+ can be bought for a 2017 MacBook Pro in Spain despite it being unavailable there; this is a purchase/eligibility decision.
2703179,@AppleSupport App Store doesn’t work since iOS 11 update. Can’t download app unless I have WiFi. Argh. #Frustrated,connectivity_issue,True,software_bug_after_update,True,The App Store stopped working after the iOS 11 update and apps cannot be downloaded without Wi-Fi; the update-linked broken behavior is the main issue.,software_bug_after_update,True,The App Store has not worked since the iOS 11 update and apps cannot be downloaded without WiFi; this is a specific post-update software problem with a standard troubleshooting path.
1004457,"where my time? #apple @115858
bug lockscreen.. https://t.co/gjdt5VNjKb",software_bug_after_update,True,complaint_feedback,False,"The visible text only says 'where my time? bug lockscreen' and points to a link, leaving the actual symptom too unclear to act on confidently.",complaint_feedback,False,The message says “where my time?” and “bug lockscreen” but gives no clear description of the lock-screen problem or actionable request; the visible text is too vague to handle safely.
851786,"@AppleSupport Problem with my MBP15 2016. If I connect my Lacie Rugged to one of the ports on the left side of my Mac, the drive  doesn't appear on my Mac.. Also, my iPhone 6s doesn't charge using the ports on the left. It did work for the past eight months.",hardware_malfunction,True,hardware_malfunction,True,The customer reports a Mac port that no longer recognizes a drive and also will not charge an iPhone through the left-side ports; these are physical port/charging faults with no update mentioned.,hardware_malfunction,True,The left-side MacBook ports no longer detect a LaCie drive or charge an iPhone even though they worked for eight months; this is a specific port/charging hardware fault suitable for routine troubleshooting.
1913072,"@AppleSupport my phone is discharging battery as normal but indicator is staying at 100%. What can I do to rectify?  I’ve reset my phone, and there is no change #appleproblems",software_bug_after_update,True,hardware_malfunction,True,"The battery is discharging while its indicator stays at 100%, and resetting the phone did not change it; with no update mentioned, this is a battery/charging fault suitable for routine troubleshooting.",hardware_malfunction,True,"The phone continues discharging normally while the battery indicator remains stuck at 100%, even after a reset; this is a battery-indicator malfunction with no update mentioned."
2279895,"@116333 @AppleSupport @115858 Sir, i booked an Iphone X on 9th of Oct ‘17 in a store in Kanpur, Uttar Pradesh, India The store haven’t issued a product till date. Action please. Picture attached. https://t.co/zDbIfvW0Os",billing_purchase,False,billing_purchase,False,"The customer booked an iPhone X and says the store still has not issued the product, asking for action; this is a purchase/order fulfillment issue requiring a store/order lookup.",billing_purchase,False,The customer says an iPhone X was booked on October 9 but the Kanpur store still has not issued the product and asks for action; this is an order/fulfillment issue requiring lookup.
2110806,@115858 either don't make my iPhone defective when I run out of iCloud space or don't make iCloud storage a monthly fee. It is complete bs that my phone stops working even though my actual phone storage is abundant.,account_access,False,billing_purchase,False,The customer objects to iCloud storage being a monthly fee and says the phone stops working when storage is exhausted; the explicit money/pricing complaint takes priority and needs billing handling.,billing_purchase,False,The customer objects to iCloud storage being a monthly fee and says the phone stops working when iCloud space is full; the message involves paid storage and a billing/service decision.
1458740,"@AppleSupport hi, what can i do? Everything is true ! https://t.co/jTFxyqRfrW",complaint_feedback,False,complaint_feedback,False,"The visible message only says 'what can i do? Everything is true!' and points to a link, so there is not enough concrete information to identify or safely handle an intent.",complaint_feedback,False,"The customer only says “what can i do? Everything is true!” alongside a link, without a visible specific problem or actionable request."
2509411,@AppleSupport iTunes doesn’t accept my PayPal account as my payment method can you please help,billing_purchase,True,billing_purchase,False,The customer says iTunes rejects PayPal as a payment method and asks for help; a payment-method problem requires billing/account-specific handling.,billing_purchase,False,The customer says iTunes will not accept their PayPal account as a payment method and asks for help; this directly concerns a payment method.
1425142,"@AppleSupport iCloud just saved over my current LR catalog and made me lose all my info!! HELP please now.
C.S. Hung up on me.
WTH!!!",software_bug_after_update,False,account_access,False,"The customer says iCloud overwrote a current catalog and caused loss of information, then reports a support call being disconnected; this is an iCloud/account-data case with significant data loss requiring human handling.",account_access,False,"The customer says iCloud overwrote an existing Lightroom catalog and caused loss of information, then says support hung up; because the issue is tied to iCloud data and needs investigation, it is not safely auto-handled."
2406519,@543422 @AppleSupport Heading to Apple to day. Will say it’s charged then sitting off the charge for few minutes hits 20%,software_bug_after_update,True,hardware_malfunction,True,"The phone appears to show a full charge but drops to 20% within minutes off the charger; with no update mentioned, this is a battery/charging fault suitable for routine troubleshooting.",hardware_malfunction,True,The customer says the phone appears charged but drops to 20% within minutes after being removed from the charger; this is a battery/charging fault without an update mentioned.
2580539,"@115858 think they funny. I got a 6s, beautiful phone. But now since the new update My battery drops by the second with nothing open, my charger that I have had for three months doesn’t work anymore (accessory not supported) charge the batter over night and only get 40 percent.",software_bug_after_update,True,software_bug_after_update,True,"The customer ties rapid battery loss and an accessory-not-supported charging problem to the new update, making the update-linked software/charging behavior the primary issue.",software_bug_after_update,True,"Since the new update, the battery drops rapidly, a previously working charger reports “accessory not supported,” and overnight charging reaches only 40%; the explicit update link makes this a post-update software issue suitable for standard troubleshooting."
1949779,@AppleSupport My dad says he wants to upgrade his dog and bone. That scares me as I hope he’s talking cockney about his phone and not about upgrading me. Thou he could certainly upgrade the bone I get. Can you help Apple humans ?,update_install_issue,True,complaint_feedback,False,"The message is a humorous, cryptic joke about 'upgrade my dog and bone' and asks Apple humans for help without a concrete support problem, so it cannot be acted on confidently.",complaint_feedback,False,"The customer jokingly says their dad wants to “upgrade” his dog and bone and asks Apple humans for help, but provides no genuine actionable support issue."
704542,Anyone having issues with their iPad Pro Smart Keyboard after ios11? @AppleSupport,software_bug_after_update,True,hardware_malfunction,True,"The customer asks about an iPad Pro Smart Keyboard problem after iOS 11; the keyboard is the affected hardware, although the post-update context suggests software compatibility.",software_bug_after_update,True,"The customer asks about an iPad Pro Smart Keyboard problem specifically “after ios11,” making the update the key trigger for the malfunction; it can receive routine troubleshooting."
639704,"@AppleSupport Legally speaking, can i use @115858 's logo to put it in a public poster ? Goal is to make people coming in our next school conference ""buying guide for christmas"" ? Will be discret and next to other's logos",how_to_question,True,how_to_question,False,"The customer asks whether Apple's logo can legally be used on a public poster; although phrased as a question, it is legal content and therefore requires human handling.",how_to_question,False,"The customer asks whether they can legally use Apple’s logo on a public school-conference poster; although it is phrased as a how-to question, the legal-use decision is not a routine support case for automatic handling."
154420,@AppleSupport ever since the iOS 11.1.2 update my iPad Pro battery drains 2x as fast and frequently stops charging while in use. Even when I put it in airplane mode to charge it takes 2x as long. Please fix this. This is my lifeline at school!,software_bug_after_update,True,software_bug_after_update,False,"The iOS 11.1.2 update is followed by battery drain and repeated charging stops; because the customer calls it a lifeline at school and describes a significant charging problem, human review is safer for the potentially serious battery/charging fault.",software_bug_after_update,False,"Since the iOS 11.1.2 update, the iPad Pro battery drains twice as fast and repeatedly stops charging, even in airplane mode; the customer also calls it their “lifeline at school,” making this a serious case that should not be auto-handled."
2843863,@AppleSupport Awesome! I have a 6s and I'm using Wifi. To use ITunes do I have to do it on a mac?,update_install_issue,True,how_to_question,True,The customer asks whether iTunes must be used on a Mac despite using Wi-Fi on an iPhone 6s; this is a routine usage question.,how_to_question,True,The customer asks whether iTunes on an iPhone 6s using WiFi has to be used on a Mac; this is a straightforward how-to question with no broken feature reported.
962669,@AppleSupport Hello? Anyone there?? Why no one try to help me?,complaint_feedback,True,complaint_feedback,False,"The message only asks why nobody is helping and provides no actual support symptom, so it is too vague to act on.",complaint_feedback,False,The customer says “Hello? Anyone there?? Why no one try to help me?” and gives no specific technical problem; it is a pure escalation/venting message.
